location,source,target,ID,fuzzy,context,translator_comments,developer_comments
frontend/analytics/sectors/sections/Filters.tsx:879,No sectors found in database,,analysis.no_sectors_found,,,,
frontend/analytics/hazards/sections/HazardImpactMap.tsx:216,Number of deaths,,analysis.number_of_deaths,,,,
frontend/analytics/hazards/sections/HazardImpactMap.tsx:186,Number of disaster event,,analysis.number_of_disaster_event,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:534,Number of Disaster Events,,analysis.number_of_disaster_events,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:543,Number of Disaster Events,,analysis.number_of_disaster_events,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:558,Number of Disaster Events,,analysis.number_of_disaster_events,,,,
components/CustomMap.tsx:194,Number of Events,,analysis.number_of_events,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:549,Number of people affected,,analysis.number_of_people_affected,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:548,Number of people affected,,analysis.number_of_people_affected,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:546,Number of users affected,,analysis.number_of_users_affected,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:545,Number of users affected,,analysis.number_of_users_affected,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:407,People Affected,,analysis.people_affected,,,,
routes/$lang+/analytics+/disaster-events.tsx:931,People directly affected (old DesInventar),,analysis.people_directly_affected,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:257,People directly affected,,analysis.people_directly_affected,,,,Label for people directly affected by the hazard
frontend/analytics/hazards/sections/HumanAffects.tsx:381,Persons with disabilities and living in poverty affected,,analysis.persons_with_disabilities_and_living_in_poverty_affected,,,,
routes/$lang+/analytics+/disaster-events.tsx:1061,Persons with disabilities and living in poverty affected,,analysis.persons_with_disabilities_and_living_in_poverty_affected,,,,
components/CustomMap.tsx:790,Please select appropriate filters to view geographic impact data.,,analysis.please_select_filters_to_view_geographic_impact,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:470,Private Cost,,analysis.private_cost,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:342,Private Cost,,analysis.private_cost,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:471,Private Cost,,analysis.private_cost,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:467,Public Cost,,analysis.public_cost,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:335,Public Cost,,analysis.public_cost,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:468,Public Cost,,analysis.public_cost,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:277,Recovery,,analysis.recovery,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:382,Recovery Cost,,analysis.recovery_cost,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:381,Recovery,,analysis.recovery_cost,,,,
routes/$lang+/analytics+/disaster-events.tsx:1310,Recovery need,,analysis.recovery_need,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:270,Repair/Replacement,,analysis.repair_replacement,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:379,Repair/Replacement Cost,,analysis.repair_replacement_cost,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:378,Repair/Replacement,,analysis.repair_replacement_cost,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:414,Response Cost,,analysis.response_cost,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:551,Response cost,,analysis.response_cost,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:552,Response cost,,analysis.response_cost,,,,
